,sentence,intents
64,what time are my alarms,alarm_query
65,which alarms are set in the phone,alarm_query
66,is my alarm set for tomorrow morning,alarm_query
67,check if any alarm is there after five am,alarm_query
68,what alarms do i have set for thursday,alarm_query
69,checkout today set alarm of ten am,alarm_query
70,is my school alarm set,alarm_query
71,what alarms do i have scheduled for tomorrow,alarm_query
72,tell me if my alarm is set for the morning,alarm_query
73,do i have an alarm set for tomorrow,alarm_query
74,what alarms do i have,alarm_query
75,when was the last alarm set,alarm_query
76,today how many alarms do i have set,alarm_query
77,how many alarms do i have set for morning hours between six and nine am,alarm_query
78,what is tomorrow's alarm time set to,alarm_query
79,please let me know the morning alarm time for weekdays,alarm_query
80,can you tell me about the alarm called bed,alarm_query
81,read me my alarms,alarm_query
82,is there any alarm after five am,alarm_query
83,what are my alarms,alarm_query
84,what days are my alarms set for,alarm_query
85,would like to know the alarm you sent,alarm_query
86,confirm i have set an alarm for six am,alarm_query
87,what alarms did i set,alarm_query
88,what alarms do i got,alarm_query
89,show me the alarms that are set,alarm_query
90,tell me about alarms,alarm_query
91,list all the alarms,alarm_query
92,checkout today third set alarm,alarm_query
93,how many alarms are currently set,alarm_query
94,are there any alarms set what are they,alarm_query
95,is my alarm set,alarm_query
96,all alarms,alarm_query
97,tell me what alarms are set for me,alarm_query
98,next alarm,alarm_query
99,when is the next alarm,alarm_query
100,show alarms,alarm_query
101,let me know about any alarms set today,alarm_query
102,confirm my alarm settings,alarm_query
103,give me the alarm times for the next two days,alarm_query
104,let me know the alarm time,alarm_query
105,is there any alarm active,alarm_query
106,what alarms are set in the house,alarm_query
107,do i have any alarms,alarm_query
108,have i set any alarms in the morning,alarm_query
109,check if i have set any alarm for morning,alarm_query
110,list all of my upcoming alarms,alarm_query
111,my alarms,alarm_query
112,do i have any alarms set for six am tomorrow,alarm_query
113,how many alarms are currently on my phone,alarm_query
114,any alarms currently listed,alarm_query
115,did i remember to set a reminder alarm for my next doctor's appointment,alarm_query
116,what time is set for my wake up alarm,alarm_query
117,what alarms are set for this week,alarm_query
118,what is on my alarm schedule,alarm_query
119,show me all of my active alarms,alarm_query
120,what alarms are currently set,alarm_query
121,review the alarms i have,alarm_query
122,what's the alarm situation for tomorrow,alarm_query
123,olly find any alarms i have set for today,alarm_query
124,i want to see all set alarms,alarm_query
125,do i have an alarm set for today,alarm_query
126,at what time is my alarm set,alarm_query
127,can you tell me if i have any alarms set,alarm_query
128,did I set an alarm to have tablets in the noon,alarm_query
129,which alarms do i have,alarm_query
130,show me the alarms i set,alarm_query
131,what time is my alarm set for,alarm_query
132,is my wake up alarm set a six am,alarm_query
133,what home alarms have been set,alarm_query
134,please read me my alarms,alarm_query
135,what times are my alarms set for,alarm_query
136,when will my alarm go off in the morning,alarm_query
137,do i have any alarms set for today,alarm_query
138,show me what alarm times i've set for the week,alarm_query
139,list current set alarms,alarm_query
140,are there any alarms going off today,alarm_query
141,what alarms do i all have set,alarm_query
142,show me the alarms i've set,alarm_query
143,my set alarms,alarm_query
144,what alarms will wake me up tomorrow,alarm_query
145,have i got any alarms set,alarm_query
146,what alarms i have set,alarm_query
147,tell me about the alarm timings,alarm_query
148,alarms,alarm_query
149,when does my alarm go off,alarm_query
150,would you please check to see if i've set my alarm for tomorrow morning,alarm_query
151,alarm status,alarm_query
152,what time have you set the alarm,alarm_query
153,list my different alarm,alarm_query
154,what time i am waking up tomorrow,alarm_query
155,what alarms did i set today,alarm_query
156,what alarms are coming up,alarm_query
157,if there any alarm is set then let me know,alarm_query
158,review all alarms,alarm_query
159,is the alarm set for tomorrow morning,alarm_query
160,what time is alarm set for,alarm_query
161,do i have alarms set,alarm_query
162,what time is my alarm set for tomorrow morning,alarm_query
163,is my reminder alarm set for dance class,alarm_query
164,when is my alarm set for,alarm_query
165,what time will my alarm wake me up,alarm_query
166,how many alarms are set,alarm_query
167,how many alarms have i set,alarm_query
168,what time will my alarm go off today,alarm_query
169,please let me know the alarm kept for tuesday's meeting,alarm_query
170,did you set the alarm for five am,alarm_query
171,let me know about the alarms you set,alarm_query
172,what alarms do i have set for today,alarm_query
173,what's my next alarm,alarm_query
174,let me see my alarms,alarm_query
281,Set a alarm for the day,alarm_set
282,set an alarm for tomorrow at six in the morning,alarm_set
283,put an alarm and wake me up at six am tomorrow morning,alarm_set
284,set alarm at five am,alarm_set
285,update alarm,alarm_set
286,set new alarm on five am,alarm_set
287,please set alarm for,alarm_set
288,please arrange to wake me up at three am alarm,alarm_set
289,set the alarm for tomorrow five am,alarm_set
290,set an alarm for me at eight am,alarm_set
291,set alarm tomorrow at six am,alarm_set
292,set an alarm forty minutes from now,alarm_set
293,set an alarm for me for tomorrow at seven pm,alarm_set
294,set an alarm for two pm,alarm_set
295,set an alarm for five minutes from now,alarm_set
296,set alarm for tomorrow morning at six am,alarm_set
297,i want an alarm for three today,alarm_set
298,set alarm at nine am on next sunday,alarm_set
299,set alarm for eight am,alarm_set
300,set a continuous alarm without the option to snooze for seven am please,alarm_set
301,make an alarm for the meeting with bob at seven today,alarm_set
302,please set an alarm for tomorrows meeting at seven am,alarm_set
303,set an alarm for eight pm,alarm_set
304,set my calendar for an alarm at five pm tuesday,alarm_set
305,turn my morning alarm on,alarm_set
306,tell me when it is five pm,alarm_set
307,two pm set,alarm_set
308,set alarm for six am tomorrow,alarm_set
309,set up an alarm clock at one pm,alarm_set
310,i need to get up at seven am,alarm_set
311,i need to get going at eight am tomorrow set up an alarm thirty minutes before that,alarm_set
312,let me know when it is ten,alarm_set
313,create an alarm for five pm,alarm_set
314,set the alarm for five am,alarm_set
315,set alarm of every tuesday of march month morning eight am,alarm_set
316,repeat alarm,alarm_set
317,please set the alarm for seven,alarm_set
318,wake me up at six am,alarm_set
319,set a new alarm for that time,alarm_set
320,ensure i have to get up at six in morning,alarm_set
321,set alarm for one hour from now,alarm_set
322,schedule an alarm for next weeks dentist appointment,alarm_set
323,alarm for ten am,alarm_set
324,please we're the following alarm,alarm_set
325,set an alarm for one pm,alarm_set
326,set an alarm for the dance classes two hours before the classes start,alarm_set
327,set my alarm for twelve pm,alarm_set
328,wake me up at five am,alarm_set
329,set the alarm tone,alarm_set
330,olly set my alarm to go off in an hour,alarm_set
331,send me a wake up alert at seven am tomorrow morning,alarm_set
332,please wake me up at eight am,alarm_set
333,make an alarm for four pm,alarm_set
334,wake me up at four am,alarm_set
335,fix an alarm,alarm_set
336,set an alarm for seven am,alarm_set
337,set alarm for this event reminder repeating for ten times,alarm_set
338,set an alert for two pm,alarm_set
339,i need to get up at ten tomorrow,alarm_set
340,get me up at eight am,alarm_set
341,set alarm for tomorrow at two pm,alarm_set
342,wake me up at six thirty,alarm_set
343,please set my alarm clock for eight am,alarm_set
344,set an alarm for next tuesdays meeting,alarm_set
345,set alarm at ten am,alarm_set
346,please create a new alarm,alarm_set
347,alert me at three pm to goto the concert,alarm_set
348,make a new alarm,alarm_set
349,please set a reminder alarm for three pm on Saturday,alarm_set
350,open clock,alarm_set
351,set alarm for tomorrow six am,alarm_set
352,set my alarm for tuesday at six pm,alarm_set
353,alert me at five hours,alarm_set
354,one am set,alarm_set
355,set alarm to begin,alarm_set
356,set the alarm for nine am on weekends,alarm_set
357,add an alarm for tomorrow morning at six am,alarm_set
358,please set an alarm at six am,alarm_set
359,set an alarm for tomorrow morning at eight,alarm_set
360,ring the alarm when i get home,alarm_set
361,set my alarm for time,alarm_set
362,set an alarm for ten o'clock tomorrow morning,alarm_set
363,alarm set,alarm_set
364,i want an alarm for six am everyday,alarm_set
365,add a five am alarm in place of my nine pm alarm,alarm_set
366,remind me at one thousand three hundred,alarm_set
367,alarm,alarm_set
368,make an alarm,alarm_set
369,please set alarm for all days,alarm_set
370,wake me up at seven am,alarm_set
371,is my alarm set for seven am,alarm_set
372,can you set an alarm for me,alarm_set
373,create event with alarm for meeting in two hours,alarm_set
374,set my alarm for six am tomorrow,alarm_set
375,please set an alarm for seven hundred and thirty am tomorrow,alarm_set
376,wake me up in thirty minutes,alarm_set
377,schedule an alarm to wake me up after three hours,alarm_set
378,set an alarm,alarm_set
379,make an alarm for me at five am tomorrow,alarm_set
380,set alarm for twelve weeks from today at eight am,alarm_set
381,wake me up at time,alarm_set
382,set wake up Thursday seven am,alarm_set
383,please set my alarm for five pm,alarm_set
384,get me up in half an hour,alarm_set
385,wake me up at this time,alarm_set
386,wake me up at ten,alarm_set
387,set an alarm for five hundred and thirty,alarm_set
388,put alarm at five am,alarm_set
389,wake me up on Friday at five in the morning i need to catch the train,alarm_set
390,set an alarm for seven thirty am,alarm_set
391,please ring the wake up alarm at eight am next saturday,alarm_set
392,create an alarm for six am,alarm_set
393,i need an alarm set for five hundred and thirty am tomorrow,alarm_set
394,set a repeating reminder alarm for the facebook event i have to attend on seventh april,alarm_set
395,set alarm on twenty fifth may at five pm,alarm_set
396,please wake me up at seven thirty am,alarm_set
397,set an alarm for eight am,alarm_set
398,alarm five pm tuesday,alarm_set
399,wake me up at five thirty,alarm_set
400,set my alarm for eight am,alarm_set
401,set my alarm for six thirty in the morning tomorrow,alarm_set
402,set the time,alarm_set
403,i need an alarm,alarm_set
404,wake me up,alarm_set
405,i need a six am wakeup call,alarm_set
406,wake me up at five am this week,alarm_set
407,set alarm for saturday morning soccer practice at eight am,alarm_set
408,please set the alarm for next morning to seven am,alarm_set
409,can you set my alarm for seven thirty am,alarm_set
410,set alarm at two am,alarm_set
411,please set the alarm for eight pm wednesday evening,alarm_set
412,could you please set an alarm at six am,alarm_set
413,set an alarm for four in the afternoon,alarm_set
414,set a reminder i need to wake up at five am every morning,alarm_set
415,please set an alarm at seven am tomorrow morning,alarm_set
416,create an alarm for today at ten am,alarm_set
417,i need you to set an alarm,alarm_set
418,make an alarm to help me remember,alarm_set
419,set an alarm for two hours from now,alarm_set
420,set alarm for nine am,alarm_set
421,set an alarm at six in the morning,alarm_set
422,make an alarm for the morning,alarm_set
423,set an alarm for two hours from now please,alarm_set
424,set an alarm at six am,alarm_set
425,place alarm at five o'clock morning,alarm_set
426,wake me up at five hundred and thirty,alarm_set
427,i want to wake up at six am tomorrow please,alarm_set
428,call me at six am,alarm_set
429,set an alarm for one hour from now,alarm_set
430,new alarm for six am,alarm_set
431,i need a reminder alarm at one,alarm_set
432,please set alarm at five pm,alarm_set
433,set an eight hundred am alarm for next tuesday,alarm_set
434,set alarm for reminder,alarm_set
435,make an alarm for three pm,alarm_set
436,the set alarm for nine pm on Thursday night,alarm_set
437,set an alarm for five am,alarm_set
438,confirm that the alarm is set for tomorrow,alarm_set
439,please make me wake up at four am tomorrow,alarm_set
440,remind me at five pm,alarm_set
441,turn on alarm thirty minutes before liverpool started to play,alarm_set
442,set a wake up call for ten am,alarm_set
443,set an alarm for thursday at seven pm,alarm_set
444,please set alarm to my mobile phones,alarm_set
445,alarm me at eight am,alarm_set
446,wake me at seven am,alarm_set
447,set an alarm at ten tomorrow to remind me a meeting,alarm_set
448,set an alarm at six am tomorrow,alarm_set
449,i need an alarm for sunday at eight am can you please set one for me,alarm_set
450,turn on my alarm,alarm_set
451,remind me at six thirty pm,alarm_set
452,add alarm,alarm_set
453,can you set the alarm for one hundred and thirty,alarm_set
454,alarm time for twelve pm,alarm_set
455,wake me at daybreak,alarm_set
528,don't talk,audio_volume_mute
529,go silent until three pm,audio_volume_mute
530,please do not talk for thirty minutes,audio_volume_mute
531,Silence speakers,audio_volume_mute
532,please be quiet,audio_volume_mute
533,silently adjust,audio_volume_mute
534,turn off audio,audio_volume_mute
535,turn off sound,audio_volume_mute
536,set to mute,audio_volume_mute
537,keep quiet,audio_volume_mute
538,please stop for a bit,audio_volume_mute
539,Please pause the song,audio_volume_mute
540,off the speakers,audio_volume_mute
541,be silent for thirty minutes,audio_volume_mute
542,can you place the sound on mute,audio_volume_mute
543,stop making sounds for forty minutes,audio_volume_mute
544,can you please stop speaking,audio_volume_mute
545,mute volume,audio_volume_mute
546,please do not answer,audio_volume_mute
547,please be silent until i tell you not to be,audio_volume_mute
548,i want to mute the speaker,audio_volume_mute
549,silent mode,audio_volume_mute
550,mute yourself when i am in a meeting,audio_volume_mute
551,please pause yourself,audio_volume_mute
552,please keep quiet for the next hour,audio_volume_mute
553,mute the living room speakers,audio_volume_mute
554,down the speaker volume at the end of level,audio_volume_mute
555,set the speakers to mute,audio_volume_mute
556,please mute the volume control,audio_volume_mute
557,turn on silent mode until my alarm goes off,audio_volume_mute
558,pause the music,audio_volume_mute
559,silent,audio_volume_mute
560,go silent for a day,audio_volume_mute
561,mute for volume,audio_volume_mute
562,set mute mode for one hour,audio_volume_mute
563,can you mute when i am not home,audio_volume_mute
564,mute please,audio_volume_mute
565,please be quiet for another hour,audio_volume_mute
566,set to silent for five minutes,audio_volume_mute
567,silence please,audio_volume_mute
568,stop playing,audio_volume_mute
569,mute the audio,audio_volume_mute
570,mute the settings,audio_volume_mute
571,mute the volume,audio_volume_mute
572,please quiet the speaker,audio_volume_mute
573,silence for two hours,audio_volume_mute
574,please stop talking,audio_volume_mute
575,mute for two hours,audio_volume_mute
576,activate silent,audio_volume_mute
577,mute for fifteen minutes,audio_volume_mute
578,silence,audio_volume_mute
579,do not speak today,audio_volume_mute
580,turn off the sounds,audio_volume_mute
581,mute the speaker please,audio_volume_mute
582,enter silence mode,audio_volume_mute
583,help me to mute my speaker,audio_volume_mute
584,can you mute my speaker,audio_volume_mute
585,google please be extra quiet the baby is sleeping,audio_volume_mute
586,mute enabled until i say so,audio_volume_mute
587,Shut down the sound,audio_volume_mute
588,please hold for the next hour,audio_volume_mute
589,disable music player,audio_volume_mute
590,mute the sound,audio_volume_mute
591,set the settings to mute,audio_volume_mute
592,quiet mode on until i am home from work,audio_volume_mute
593,turn the vibrate off from speaker,audio_volume_mute
594,please mute the speakers,audio_volume_mute
595,mute sound on speakers please,audio_volume_mute
596,don't speak for an hour,audio_volume_mute
597,set music system to mute,audio_volume_mute
598,stay quiet,audio_volume_mute
599,set volume to zero,audio_volume_mute
600,please mute my speaker,audio_volume_mute
601,speakers off,audio_volume_mute
602,please do not speak,audio_volume_mute
603,quiet on,audio_volume_mute
604,no speaking please,audio_volume_mute
605,i would like to mute the speakers please,audio_volume_mute
606,please mute the sound,audio_volume_mute
607,please shut off,audio_volume_mute
608,from now on mute,audio_volume_mute
609,please unmute yourself,audio_volume_mute
610,mute speakers,audio_volume_mute
611,i dont want sound,audio_volume_mute
612,will you please mute my speakers,audio_volume_mute
613,mute speakers please,audio_volume_mute
614,mute sound,audio_volume_mute
615,quiet,audio_volume_mute
616,sound off,audio_volume_mute
617,silence for certain amount of hours,audio_volume_mute
618,please you don't speak in eight to ten pm,audio_volume_mute
619,mute,audio_volume_mute
620,turn the sound off,audio_volume_mute
621,mute immediately,audio_volume_mute
622,mute all responses now,audio_volume_mute
623,be mute,audio_volume_mute
624,shut up,audio_volume_mute
625,don't make any sounds,audio_volume_mute
626,turn sound off,audio_volume_mute
627,silent mode on for the next three hours,audio_volume_mute
628,cut off noise,audio_volume_mute
629,touch the mute button,audio_volume_mute
630,get yourself muted,audio_volume_mute
631,set mute until said otherwise,audio_volume_mute
632,be quiet,audio_volume_mute
633,mute yourself until five pm,audio_volume_mute
634,don't speak for a while,audio_volume_mute
635,i've got a meeting by tonight seven pm please mute the music for an hour,audio_volume_mute
636,quiet mode four hours,audio_volume_mute
637,turn down the noise,audio_volume_mute
638,please change the volume to mute,audio_volume_mute
639,mute for the next hour please,audio_volume_mute
640,please mute yourself,audio_volume_mute
641,make the volume to zero,audio_volume_mute
642,hey olly mute the speakers,audio_volume_mute
643,mute the speakers,audio_volume_mute
644,goodnight,audio_volume_mute
645,it's quiet time,audio_volume_mute
646,turn off speaker,audio_volume_mute
647,mute yourself until i say otherwise,audio_volume_mute
648,mute audio,audio_volume_mute
649,don't talk until i ask you to,audio_volume_mute
650,please be quiet for the next two hours,audio_volume_mute
651,mute volume now,audio_volume_mute
652,don't respond for fifty seconds,audio_volume_mute
653,turn off the speakers,audio_volume_mute
654,do not talk,audio_volume_mute
655,quiet time,audio_volume_mute
656,mute for one hour,audio_volume_mute
657,please be silent,audio_volume_mute
658,please do not respond,audio_volume_mute
659,volume control,audio_volume_mute
660,can you set radio to mute,audio_volume_mute
661,please mute the television for one hour,audio_volume_mute
662,can you please be muted for a while,audio_volume_mute
663,i'm in a meeting please do not speak,audio_volume_mute
664,turn the volume off,audio_volume_mute
665,sound off please,audio_volume_mute
666,i want you to mute,audio_volume_mute
667,do not make any noise until morning alarm,audio_volume_mute
668,mute for twenty minutes,audio_volume_mute
669,stop the audio,audio_volume_mute
796,how the list of upcoming events,calendar_query
797,do i have a dentist appointment on monday morning,calendar_query
798,do i have a meeting on saturday march twenty fifth,calendar_query
799,is my calendar free for Thursday,calendar_query
800,what important dates are there in my calendar this month,calendar_query
801,tell me about the meetings over a period of time,calendar_query
802,time time is the holiday party at the office,calendar_query
803,today's schedule,calendar_query
804,what have i got going on between three and four pm today,calendar_query
805,hows many more reminders are left,calendar_query
806,is the birthday event on fifteenth of this month true,calendar_query
807,tell me what is on my schedule for today,calendar_query
808,do i have anything planned for the twenty first,calendar_query
809,is my schedule full for tomorrow from eight am to two pm,calendar_query
810,what meetings do i have between eight ten today,calendar_query
811,need information about events before shift ends,calendar_query
812,is there any pending reminder for me,calendar_query
813,when and where is june's birthday party,calendar_query
814,what am i up to this weekend,calendar_query
815,meeting july calendar,calendar_query
816,what day is the meeting on,calendar_query
817,which day this week do i have plans,calendar_query
818,is calendar event true,calendar_query
819,is there any events planned for the next three months,calendar_query
820,tell me what is on my calendar for tomorrow,calendar_query
821,where is the event today,calendar_query
822,list out my meetings today,calendar_query
823,search schedules for this week,calendar_query
824,any upcoming events,calendar_query
825,do i have any off days this week,calendar_query
826,rahul marriage reminder,calendar_query
827,when is the next office meeting,calendar_query
828,is there any event today in my calendar,calendar_query
829,where am i supposed to be by this time tomorrow,calendar_query
830,what events are this week,calendar_query
831,i needed to prepare for a meeting,calendar_query
832,when is my doctor's appointment,calendar_query
833,events happening between eight am and five pm today,calendar_query
834,what is my next reminder,calendar_query
835,how soon is my anniversary,calendar_query
836,what meetings are available in march,calendar_query
837,what is on the agenda for the four pm meeting with joe,calendar_query
838,tell me what is on the schedule for july seventh,calendar_query
839,was my meeting today rescheduled,calendar_query
840,where is tuesday's morning meeting,calendar_query
841,my events,calendar_query
842,what's my next appointment,calendar_query
843,whats going on in my calendar,calendar_query
844,what else is on the list,calendar_query
845,what time does the dinner party start tonight,calendar_query
846,do i have a sales meeting today,calendar_query
847,please tell me when's my financial meeting,calendar_query
848,confirm that my notification is set to remind me when i leave,calendar_query
849,open my calendar,calendar_query
850,when will the match start,calendar_query
851,do i have a meeting today,calendar_query
852,shall we meet for today's party,calendar_query
853,let's go through all pending reminders,calendar_query
854,is it true that susan's birthday is on march first,calendar_query
855,where is my meeting at nine am,calendar_query
856,what events are scheduled this week,calendar_query
857,march one is susan's birthday right,calendar_query
858,what on my calendar,calendar_query
859,is this program is scheduled,calendar_query
860,tell me when the hockey game tickets are for,calendar_query
861,tell me about my upcoming week,calendar_query
862,latest events,calendar_query
863,when is bank holiday,calendar_query
864,what day is this event scheduled for,calendar_query
865,give me the reminders,calendar_query
866,show me my calendar event this Friday afternoon,calendar_query
867,is there a chili cookoff this weekend,calendar_query
868,what events are scheduled for me to do today,calendar_query
869,what are the pending reminder for today evening,calendar_query
870,do i have a doctors appointment today,calendar_query
871,is jimmie's party on friday cancelled,calendar_query
872,what do i have scheduled on july seventh,calendar_query
873,am i busy on Wednesday evening,calendar_query
874,what events do i have scheduled today,calendar_query
875,what is on the agenda for today,calendar_query
876,when the meeting start,calendar_query
877,on my calendar are there any birthdays,calendar_query
878,am i free on sunday day,calendar_query
879,do i have any get togethers this week,calendar_query
880,please tell me the main points of my two hundred meeting from this afternoon,calendar_query
881,can you tell me the next scheduled event,calendar_query
882,anything interesting happening next friday,calendar_query
883,how many calories did i burn between three and five today,calendar_query
884,can you tell me what's on the schedule for tomorrow,calendar_query
885,do i have any thing going on at five,calendar_query
886,what's coming up this week,calendar_query
887,do the knicks have a game at home tonight,calendar_query
888,do i have free time next tuesday to schedule a meeting,calendar_query
889,how many things do i have planned tonight,calendar_query
890,hey please provide information about events by the end of the day,calendar_query
891,let me know about upcoming events,calendar_query
892,do i have anything scheduled in my events,calendar_query
893,please check my reminders,calendar_query
894,what time do i have a doctors appointment on the twenty second,calendar_query
895,what are the upcoming reminders,calendar_query
896,what time am i supposed to pick up john again,calendar_query
897,what time is the evening meeting i have with john,calendar_query
898,show me future events,calendar_query
899,list all the events in my march calendar,calendar_query
900,did you add tomorrow's meeting to my calendar,calendar_query
901,when is the doctor's appointment,calendar_query
902,which is the next event coming up,calendar_query
903,what is scheduled on my calendar today,calendar_query
904,is the thanks giving event on fourteenth of this month true,calendar_query
905,please check my coming up events,calendar_query
906,do i have any meetings on friday's afternoon,calendar_query
907,do i have any events scheduled today,calendar_query
908,is there any program for tomorrow evening,calendar_query
909,notify me about the meetings over a period of some days,calendar_query
910,open events this week,calendar_query
911,do i have any calendar events this month,calendar_query
912,what are my reminders for this week,calendar_query
913,do i have any appointments scheduled for march twenty four two thousand and seventeen,calendar_query
914,can you tell me about my meetings next week,calendar_query
915,is the anniversary event on twenty second of this month true,calendar_query
916,what events are going to happen in my city between two four pm today,calendar_query
917,is the balloon festival this weekend,calendar_query
918,who is scheduled for tomorrow's meeting,calendar_query
919,what is next in my calendar,calendar_query
920,does my calendar say i'm free on april one two thousand and seventeen,calendar_query
921,from four to six when do i have a free break,calendar_query
922,are there any meetings set for next wednesday,calendar_query
923,what is my schedule for tomorrow morning,calendar_query
924,is mary's birthday party tonight,calendar_query
925,tell me what's happening this week,calendar_query
926,do i have a busy day today,calendar_query
927,what are meeting scheduled for today,calendar_query
928,what is my next event,calendar_query
929,what time is the party tonight,calendar_query
930,am i on vacation this week,calendar_query
931,what meetings do i have next thursday,calendar_query
932,what's going on between three hundred and thirty and four,calendar_query
933,do i have any appointments coming up,calendar_query
934,what is my afternoon schedule tomorrow,calendar_query
935,am i free between six to seven pm,calendar_query
936,do i have a party tomorrow save on my calendar,calendar_query
937,when monet's exhibition takes place,calendar_query
938,do i have meeting with steve this week,calendar_query
939,what time do i work tomorrow,calendar_query
940,when is dale's birthday,calendar_query
941,give me today's calendar events after six pm,calendar_query
942,can you check the facts on this issue,calendar_query
943,what's my next events,calendar_query
944,what date is my anniversary,calendar_query
945,show me my events,calendar_query
946,is there valet service at the event,calendar_query
947,show me my meetings this Friday,calendar_query
948,what's on my schedule this week,calendar_query
949,are there any events schedule for this week,calendar_query
950,show me my reminders,calendar_query
951,My weekly plan,calendar_query
952,show up the events for me today,calendar_query
953,what are my plans for today,calendar_query
954,pawel prepare the meeting with john,calendar_query
955,when is my next appointment with dr smith,calendar_query
956,within the past three months how many meetings did i have with mr richards,calendar_query
957,meetings from twenty to twenty five june,calendar_query
958,whats my schedule today,calendar_query
959,show todays reminders,calendar_query
960,make a list of all the halloween events going around in new york,calendar_query
961,what is happening this weekend,calendar_query
962,first week of march meetings,calendar_query
963,are there any events on my calendar for this week,calendar_query
964,please tell me what day this event reminder is set for,calendar_query
965,please show today meting with clients,calendar_query
966,do i have any pending reminder,calendar_query
967,can you pull up the latest time so i won't be late for my appointment,calendar_query
968,what do i have next to do,calendar_query
969,do i have a date for tonight,calendar_query
970,tell me if there are any events from three to five,calendar_query
971,remove standup on Friday at ten am,calendar_remove
972,update the calendar with the last event removed,calendar_remove
973,delete an last event reminder of twenty ninth of march twenty seventeen,calendar_remove
974,take away all events,calendar_remove
975,erase next calendar event,calendar_remove
976,clear my schedule for today,calendar_remove
977,cancel everything on my calendar,calendar_remove
978,cancel my meeting tomorrow,calendar_remove
979,hey olly make sure my calendar is completely clear tomorrow,calendar_remove
980,can you delete the doctors appointment i had Tuesday,calendar_remove
981,i wish this event to be removed from my calendar,calendar_remove
982,remove my dinner event for monday,calendar_remove
983,delete all my calendar events,calendar_remove
984,remove all my engagements from calendar for tomorrow,calendar_remove
985,please clear jeff's birthday from the calendar,calendar_remove
986,can you please disregard the party that i will be going to this weekend on my calendar,calendar_remove
987,clear all events on my calendar,calendar_remove
988,please clear my calendar for tomorrow,calendar_remove
989,i need everything deleted from calendar please,calendar_remove
990,remove next meeting today in my calendar,calendar_remove
991,cancel the breakfast at tiffany's house,calendar_remove
992,remove the fundraiser for dolphines in april,calendar_remove
993,please clear out my calendar completely,calendar_remove
994,delete meeting,calendar_remove
995,can you take off the next event on my calendar,calendar_remove
996,remove the doctor's appointment i added to my calendar for february twelfth at nine am,calendar_remove
997,hey olly on the twentieth clear my calendar,calendar_remove
998,cancel my event on june nineteenth,calendar_remove
999,remove all upcoming events please,calendar_remove
1000,clean my calendar,calendar_remove
1001,remove all events from my calendar,calendar_remove
1002,hi olly please cancel all the programs for friday,calendar_remove
1003,i don't want to attend the dinner on march first any more so could you remove it from my agenda,calendar_remove
1004,please delete all meetings of today after seven pm,calendar_remove
1005,cancel business meeting on wednesday,calendar_remove
1006,delete appointment at time,calendar_remove
1007,delete my dentist appointment,calendar_remove
1008,erase my next calendar event,calendar_remove
1009,i want you to remove this event,calendar_remove
1010,remove today's meeting at evening,calendar_remove
1011,delete all my appointments for today,calendar_remove
