,sentence,intents,clean_sentence
82,is there any alarm after five am,alarm_query,alarm five
83,what are my alarms,alarm_query,alarm
84,what days are my alarms set for,alarm_query,day alarm set
85,would like to know the alarm you sent,alarm_query,would like know alarm sent
86,confirm i have set an alarm for six am,alarm_query,confirm set alarm six
87,what alarms did i set,alarm_query,alarm set
88,what alarms do i got,alarm_query,alarm got
89,show me the alarms that are set,alarm_query,show alarm set
90,tell me about alarms,alarm_query,tell alarm
91,list all the alarms,alarm_query,list alarm
92,checkout today third set alarm,alarm_query,checkout today third set alarm
93,how many alarms are currently set,alarm_query,mani alarm current set
94,are there any alarms set what are they,alarm_query,alarm set
95,is my alarm set,alarm_query,alarm set
96,all alarms,alarm_query,alarm
97,tell me what alarms are set for me,alarm_query,tell alarm set
98,next alarm,alarm_query,next alarm
99,when is the next alarm,alarm_query,next alarm
100,show alarms,alarm_query,show alarm
101,let me know about any alarms set today,alarm_query,let know alarm set today
102,confirm my alarm settings,alarm_query,confirm alarm set
103,give me the alarm times for the next two days,alarm_query,give alarm time next two day
104,let me know the alarm time,alarm_query,let know alarm time
105,is there any alarm active,alarm_query,alarm activ
106,what alarms are set in the house,alarm_query,alarm set hous
107,do i have any alarms,alarm_query,alarm
108,have i set any alarms in the morning,alarm_query,set alarm morn
109,check if i have set any alarm for morning,alarm_query,check set alarm morn
110,list all of my upcoming alarms,alarm_query,list come alarm
111,my alarms,alarm_query,alarm
112,do i have any alarms set for six am tomorrow,alarm_query,alarm set six tomorrow
113,how many alarms are currently on my phone,alarm_query,mani alarm current phone
114,any alarms currently listed,alarm_query,alarm current list
115,did i remember to set a reminder alarm for my next doctor's appointment,alarm_query,rememb set remind alarm next doctor '' s appoint
116,what time is set for my wake up alarm,alarm_query,time set wake alarm
117,what alarms are set for this week,alarm_query,alarm set week
118,what is on my alarm schedule,alarm_query,alarm schedul
119,show me all of my active alarms,alarm_query,show activ alarm
120,what alarms are currently set,alarm_query,alarm current set
121,review the alarms i have,alarm_query,review alarm
122,what's the alarm situation for tomorrow,alarm_query,what '' s alarm situat tomorrow
123,olly find any alarms i have set for today,alarm_query,onli find alarm set today
124,i want to see all set alarms,alarm_query,want see set alarm
125,do i have an alarm set for today,alarm_query,alarm set today
126,at what time is my alarm set,alarm_query,time alarm set
127,can you tell me if i have any alarms set,alarm_query,tell alarm set
128,did I set an alarm to have tablets in the noon,alarm_query,I set alarm tablet noon
129,which alarms do i have,alarm_query,alarm
130,show me the alarms i set,alarm_query,show alarm set
131,what time is my alarm set for,alarm_query,time alarm set
132,is my wake up alarm set a six am,alarm_query,wake alarm set six
133,what home alarms have been set,alarm_query,home alarm set
134,please read me my alarms,alarm_query,plea read alarm
135,what times are my alarms set for,alarm_query,time alarm set
136,when will my alarm go off in the morning,alarm_query,alarm go morn
137,do i have any alarms set for today,alarm_query,alarm set today
138,show me what alarm times i've set for the week,alarm_query,show alarm time i '' ve set week
139,list current set alarms,alarm_query,list current set alarm
140,are there any alarms going off today,alarm_query,alarm go today
141,what alarms do i all have set,alarm_query,alarm set
142,show me the alarms i've set,alarm_query,show alarm i '' ve set
143,my set alarms,alarm_query,set alarm
144,what alarms will wake me up tomorrow,alarm_query,alarm wake tomorrow
145,have i got any alarms set,alarm_query,got alarm set
146,what alarms i have set,alarm_query,alarm set
147,tell me about the alarm timings,alarm_query,tell alarm tide
148,alarms,alarm_query,alarm
149,when does my alarm go off,alarm_query,alarm go
150,would you please check to see if i've set my alarm for tomorrow morning,alarm_query,would plea check see i '' ve set alarm tomorrow morn
151,alarm status,alarm_query,alarm statu
152,what time have you set the alarm,alarm_query,time set alarm
153,list my different alarm,alarm_query,list differ alarm
154,what time i am waking up tomorrow,alarm_query,time wake tomorrow
155,what alarms did i set today,alarm_query,alarm set today
156,what alarms are coming up,alarm_query,alarm come
157,if there any alarm is set then let me know,alarm_query,alarm set let know
158,review all alarms,alarm_query,review alarm
159,is the alarm set for tomorrow morning,alarm_query,alarm set tomorrow morn
160,what time is alarm set for,alarm_query,time alarm set
161,do i have alarms set,alarm_query,alarm set
162,what time is my alarm set for tomorrow morning,alarm_query,time alarm set tomorrow morn
163,is my reminder alarm set for dance class,alarm_query,remind alarm set danc class
164,when is my alarm set for,alarm_query,alarm set
165,what time will my alarm wake me up,alarm_query,time alarm wake
166,how many alarms are set,alarm_query,mani alarm set
167,how many alarms have i set,alarm_query,mani alarm set
168,what time will my alarm go off today,alarm_query,time alarm go today
169,please let me know the alarm kept for tuesday's meeting,alarm_query,plea let know alarm kept tuesday '' s meet
170,did you set the alarm for five am,alarm_query,set alarm five
171,let me know about the alarms you set,alarm_query,let know alarm set
172,what alarms do i have set for today,alarm_query,alarm set today
173,what's my next alarm,alarm_query,what '' s next alarm
174,let me see my alarms,alarm_query,let see alarm
175,Set a alarm for the day,alarm_set,met alarm day
176,set an alarm for tomorrow at six in the morning,alarm_set,set alarm tomorrow six morn
177,put an alarm and wake me up at six am tomorrow morning,alarm_set,put alarm wake six tomorrow morn
178,set alarm at five am,alarm_set,set alarm five
179,update alarm,alarm_set,updat alarm
180,set new alarm on five am,alarm_set,set new alarm five
181,please set alarm for,alarm_set,plea set alarm
182,please arrange to wake me up at three am alarm,alarm_set,plea arrang wake three alarm
183,set the alarm for tomorrow five am,alarm_set,set alarm tomorrow five
184,set an alarm for me at eight am,alarm_set,set alarm eight
185,set alarm tomorrow at six am,alarm_set,set alarm tomorrow six
186,set an alarm forty minutes from now,alarm_set,set alarm forti minut
187,set an alarm for me for tomorrow at seven pm,alarm_set,set alarm tomorrow seven pm
188,set an alarm for two pm,alarm_set,set alarm two pm
189,set an alarm for five minutes from now,alarm_set,set alarm five minut
190,set alarm for tomorrow morning at six am,alarm_set,set alarm tomorrow morn six
191,i want an alarm for three today,alarm_set,want alarm three today
192,set alarm at nine am on next sunday,alarm_set,set alarm nine next sunday
193,set alarm for eight am,alarm_set,set alarm eight
194,set a continuous alarm without the option to snooze for seven am please,alarm_set,set continu alarm without option ooz seven plea
195,make an alarm for the meeting with bob at seven today,alarm_set,make alarm meet bob seven today
196,please set an alarm for tomorrows meeting at seven am,alarm_set,plea set alarm tomorrow meet seven
197,set an alarm for eight pm,alarm_set,set alarm eight pm
198,set my calendar for an alarm at five pm tuesday,alarm_set,set calendar alarm five pm tuesday
199,turn my morning alarm on,alarm_set,turn morn alarm
200,tell me when it is five pm,alarm_set,tell five pm
201,two pm set,alarm_set,two pm set
202,set alarm for six am tomorrow,alarm_set,set alarm six tomorrow
203,set up an alarm clock at one pm,alarm_set,set alarm clock one pm
204,i need to get up at seven am,alarm_set,need get seven
205,i need to get going at eight am tomorrow set up an alarm thirty minutes before that,alarm_set,need get go eight tomorrow set alarm thirti minut
206,let me know when it is ten,alarm_set,let know ten
207,create an alarm for five pm,alarm_set,creat alarm five pm
208,set the alarm for five am,alarm_set,set alarm five
209,set alarm of every tuesday of march month morning eight am,alarm_set,set alarm everi tuesday march month morn eight
210,repeat alarm,alarm_set,repeat alarm
211,please set the alarm for seven,alarm_set,plea set alarm seven
212,wake me up at six am,alarm_set,wake six
213,set a new alarm for that time,alarm_set,set new alarm time
214,ensure i have to get up at six in morning,alarm_set,ensur get six morn
215,set alarm for one hour from now,alarm_set,set alarm one hour
216,schedule an alarm for next weeks dentist appointment,alarm_set,schedul alarm next week dentist appoint
217,alarm for ten am,alarm_set,alarm ten
218,please we're the following alarm,alarm_set,plea we '' re follow alarm
219,set an alarm for one pm,alarm_set,set alarm one pm
220,set an alarm for the dance classes two hours before the classes start,alarm_set,set alarm danc class two hour class start
221,set my alarm for twelve pm,alarm_set,set alarm twelv pm
222,wake me up at five am,alarm_set,wake five
223,set the alarm tone,alarm_set,set alarm tone
224,olly set my alarm to go off in an hour,alarm_set,onli set alarm go hour
225,send me a wake up alert at seven am tomorrow morning,alarm_set,send wake alert seven tomorrow morn
226,please wake me up at eight am,alarm_set,plea wake eight
227,make an alarm for four pm,alarm_set,make alarm four pm
228,wake me up at four am,alarm_set,wake four
229,fix an alarm,alarm_set,fix alarm
230,set an alarm for seven am,alarm_set,set alarm seven
231,set alarm for this event reminder repeating for ten times,alarm_set,set alarm event remind repeat ten time
232,set an alert for two pm,alarm_set,set alert two pm
233,i need to get up at ten tomorrow,alarm_set,need get ten tomorrow
234,get me up at eight am,alarm_set,get eight
235,set alarm for tomorrow at two pm,alarm_set,set alarm tomorrow two pm
236,wake me up at six thirty,alarm_set,wake six thirti
237,please set my alarm clock for eight am,alarm_set,plea set alarm clock eight
238,set an alarm for next tuesdays meeting,alarm_set,set alarm next tuesday meet
239,set alarm at ten am,alarm_set,set alarm ten
240,please create a new alarm,alarm_set,plea creat new alarm
241,alert me at three pm to goto the concert,alarm_set,alert three pm got concert
242,make a new alarm,alarm_set,make new alarm
243,please set a reminder alarm for three pm on Saturday,alarm_set,plea set remind alarm three pm saturday
244,open clock,alarm_set,open clock
245,set alarm for tomorrow six am,alarm_set,set alarm tomorrow six
246,set my alarm for tuesday at six pm,alarm_set,set alarm tuesday six pm
247,alert me at five hours,alarm_set,alert five hour
248,one am set,alarm_set,one set
249,set alarm to begin,alarm_set,set alarm begin
250,set the alarm for nine am on weekends,alarm_set,set alarm nine weekend
251,add an alarm for tomorrow morning at six am,alarm_set,add alarm tomorrow morn six
252,please set an alarm at six am,alarm_set,plea set alarm six
253,set an alarm for tomorrow morning at eight,alarm_set,set alarm tomorrow morn eight
254,ring the alarm when i get home,alarm_set,ring alarm get home
255,set my alarm for time,alarm_set,set alarm time
256,set an alarm for ten o'clock tomorrow morning,alarm_set,set alarm ten o '' clock tomorrow morn
257,alarm set,alarm_set,alarm set
258,i want an alarm for six am everyday,alarm_set,want alarm six everyday
259,add a five am alarm in place of my nine pm alarm,alarm_set,add five alarm place nine pm alarm
260,remind me at one thousand three hundred,alarm_set,remind one thousand three hundr
261,alarm,alarm_set,alarm
262,make an alarm,alarm_set,make alarm
263,please set alarm for all days,alarm_set,plea set alarm day
264,wake me up at seven am,alarm_set,wake seven
265,is my alarm set for seven am,alarm_set,alarm set seven
266,can you set an alarm for me,alarm_set,set alarm
267,create event with alarm for meeting in two hours,alarm_set,creat event alarm meet two hour
268,set my alarm for six am tomorrow,alarm_set,set alarm six tomorrow
269,please set an alarm for seven hundred and thirty am tomorrow,alarm_set,plea set alarm seven hundr thirti tomorrow
270,wake me up in thirty minutes,alarm_set,wake thirti minut
271,schedule an alarm to wake me up after three hours,alarm_set,schedul alarm wake three hour
272,set an alarm,alarm_set,set alarm
273,make an alarm for me at five am tomorrow,alarm_set,make alarm five tomorrow
274,set alarm for twelve weeks from today at eight am,alarm_set,set alarm twelv week today eight
275,wake me up at time,alarm_set,wake time
276,set wake up Thursday seven am,alarm_set,set wake thursday seven
277,please set my alarm for five pm,alarm_set,plea set alarm five pm
278,get me up in half an hour,alarm_set,get half hour
279,wake me up at this time,alarm_set,wake time
280,wake me up at ten,alarm_set,wake ten
281,set an alarm for five hundred and thirty,alarm_set,set alarm five hundr thirti
282,put alarm at five am,alarm_set,put alarm five
283,wake me up on Friday at five in the morning i need to catch the train,alarm_set,wake friday five morn need catch train
284,set an alarm for seven thirty am,alarm_set,set alarm seven thirti
285,please ring the wake up alarm at eight am next saturday,alarm_set,plea ring wake alarm eight next saturday
286,create an alarm for six am,alarm_set,creat alarm six
287,i need an alarm set for five hundred and thirty am tomorrow,alarm_set,need alarm set five hundr thirti tomorrow
288,set a repeating reminder alarm for the facebook event i have to attend on seventh april,alarm_set,set repeat remind alarm facebook event attend seventh april
289,set alarm on twenty fifth may at five pm,alarm_set,set alarm twenti fifth may five pm
290,please wake me up at seven thirty am,alarm_set,plea wake seven thirti
291,set an alarm for eight am,alarm_set,set alarm eight
292,alarm five pm tuesday,alarm_set,alarm five pm tuesday
293,wake me up at five thirty,alarm_set,wake five thirti
294,set my alarm for eight am,alarm_set,set alarm eight
295,set my alarm for six thirty in the morning tomorrow,alarm_set,set alarm six thirti morn tomorrow
296,set the time,alarm_set,set time
297,i need an alarm,alarm_set,need alarm
298,wake me up,alarm_set,wake
299,i need a six am wakeup call,alarm_set,need six wake call
300,wake me up at five am this week,alarm_set,wake five week
301,set alarm for saturday morning soccer practice at eight am,alarm_set,set alarm saturday morn soccer practic eight
302,please set the alarm for next morning to seven am,alarm_set,plea set alarm next morn seven
303,can you set my alarm for seven thirty am,alarm_set,set alarm seven thirti
304,set alarm at two am,alarm_set,set alarm two
305,please set the alarm for eight pm wednesday evening,alarm_set,plea set alarm eight pm wednesday even
306,could you please set an alarm at six am,alarm_set,could plea set alarm six
307,set an alarm for four in the afternoon,alarm_set,set alarm four afternoon
308,set a reminder i need to wake up at five am every morning,alarm_set,set remind need wake five everi morn
309,please set an alarm at seven am tomorrow morning,alarm_set,plea set alarm seven tomorrow morn
310,create an alarm for today at ten am,alarm_set,creat alarm today ten
311,i need you to set an alarm,alarm_set,need set alarm
312,make an alarm to help me remember,alarm_set,make alarm help rememb
313,set an alarm for two hours from now,alarm_set,set alarm two hour
314,set alarm for nine am,alarm_set,set alarm nine
315,set an alarm at six in the morning,alarm_set,set alarm six morn
316,make an alarm for the morning,alarm_set,make alarm morn
317,set an alarm for two hours from now please,alarm_set,set alarm two hour plea
318,set an alarm at six am,alarm_set,set alarm six
319,place alarm at five o'clock morning,alarm_set,place alarm five o '' clock morn
320,wake me up at five hundred and thirty,alarm_set,wake five hundr thirti
321,i want to wake up at six am tomorrow please,alarm_set,want wake six tomorrow plea
322,call me at six am,alarm_set,call six
323,set an alarm for one hour from now,alarm_set,set alarm one hour
324,new alarm for six am,alarm_set,new alarm six
325,i need a reminder alarm at one,alarm_set,need remind alarm one
326,please set alarm at five pm,alarm_set,plea set alarm five pm
327,set an eight hundred am alarm for next tuesday,alarm_set,set eight hundr alarm next tuesday
328,set alarm for reminder,alarm_set,set alarm remind
329,make an alarm for three pm,alarm_set,make alarm three pm
330,the set alarm for nine pm on Thursday night,alarm_set,set alarm nine pm thursday night
331,set an alarm for five am,alarm_set,set alarm five
332,confirm that the alarm is set for tomorrow,alarm_set,confirm alarm set tomorrow
333,please make me wake up at four am tomorrow,alarm_set,plea make wake four tomorrow
334,remind me at five pm,alarm_set,remind five pm
335,turn on alarm thirty minutes before liverpool started to play,alarm_set,turn alarm thirti minut liverpool start play
336,set a wake up call for ten am,alarm_set,set wake call ten
337,set an alarm for thursday at seven pm,alarm_set,set alarm thursday seven pm
338,please set alarm to my mobile phones,alarm_set,plea set alarm mobil phone
339,alarm me at eight am,alarm_set,alarm eight
340,wake me at seven am,alarm_set,wake seven
341,set an alarm at ten tomorrow to remind me a meeting,alarm_set,set alarm ten tomorrow remind meet
342,set an alarm at six am tomorrow,alarm_set,set alarm six tomorrow
343,i need an alarm for sunday at eight am can you please set one for me,alarm_set,need alarm sunday eight plea set one
344,turn on my alarm,alarm_set,turn alarm
345,remind me at six thirty pm,alarm_set,remind six thirti pm
346,add alarm,alarm_set,add alarm
347,can you set the alarm for one hundred and thirty,alarm_set,set alarm one hundr thirti
348,alarm time for twelve pm,alarm_set,alarm time twelv pm
349,wake me at daybreak,alarm_set,wake daybreak
350,don't talk,audio_volume_mute,talk
351,go silent until three pm,audio_volume_mute,go silent three pm
352,please do not talk for thirty minutes,audio_volume_mute,plea talk thirti minut
353,Silence speakers,audio_volume_mute,silenc speaker
354,please be quiet,audio_volume_mute,plea quiet
355,silently adjust,audio_volume_mute,silent adjust
356,turn off audio,audio_volume_mute,turn audit
357,turn off sound,audio_volume_mute,turn sound
358,set to mute,audio_volume_mute,set mute
359,keep quiet,audio_volume_mute,keep quiet
360,please stop for a bit,audio_volume_mute,plea stop bit
361,Please pause the song,audio_volume_mute,plea paus song
362,off the speakers,audio_volume_mute,speaker
363,be silent for thirty minutes,audio_volume_mute,silent thirti minut
364,can you place the sound on mute,audio_volume_mute,place sound mute
365,stop making sounds for forty minutes,audio_volume_mute,stop make sound forti minut
366,can you please stop speaking,audio_volume_mute,plea stop speak
367,mute volume,audio_volume_mute,mute volum
368,please do not answer,audio_volume_mute,plea answer
369,please be silent until i tell you not to be,audio_volume_mute,plea silent tell
370,i want to mute the speaker,audio_volume_mute,want mute speaker
371,silent mode,audio_volume_mute,silent mode
372,mute yourself when i am in a meeting,audio_volume_mute,mute meet
373,please pause yourself,audio_volume_mute,plea paus
374,please keep quiet for the next hour,audio_volume_mute,plea keep quiet next hour
375,mute the living room speakers,audio_volume_mute,mute live room speaker
376,down the speaker volume at the end of level,audio_volume_mute,speaker volum end level
377,set the speakers to mute,audio_volume_mute,set speaker mute
378,please mute the volume control,audio_volume_mute,plea mute volum control
379,turn on silent mode until my alarm goes off,audio_volume_mute,turn silent mode alarm goe
380,pause the music,audio_volume_mute,paus music
381,silent,audio_volume_mute,silent
382,go silent for a day,audio_volume_mute,go silent day
383,mute for volume,audio_volume_mute,mute volum
384,set mute mode for one hour,audio_volume_mute,set mute mode one hour
385,can you mute when i am not home,audio_volume_mute,mute home
386,mute please,audio_volume_mute,mute plea
387,please be quiet for another hour,audio_volume_mute,plea quiet anoth hour
388,set to silent for five minutes,audio_volume_mute,set silent five minut
389,silence please,audio_volume_mute,silenc plea
390,stop playing,audio_volume_mute,stop play
391,mute the audio,audio_volume_mute,mute audit
392,mute the settings,audio_volume_mute,mute set
393,mute the volume,audio_volume_mute,mute volum
394,please quiet the speaker,audio_volume_mute,plea quiet speaker
395,silence for two hours,audio_volume_mute,silenc two hour
396,please stop talking,audio_volume_mute,plea stop talk
397,mute for two hours,audio_volume_mute,mute two hour
398,activate silent,audio_volume_mute,activ silent
399,mute for fifteen minutes,audio_volume_mute,mute fifteen minut
400,silence,audio_volume_mute,silenc
401,do not speak today,audio_volume_mute,speak today
402,turn off the sounds,audio_volume_mute,turn sound
403,mute the speaker please,audio_volume_mute,mute speaker plea
404,enter silence mode,audio_volume_mute,enter silenc mode
405,help me to mute my speaker,audio_volume_mute,help mute speaker
406,can you mute my speaker,audio_volume_mute,mute speaker
407,google please be extra quiet the baby is sleeping,audio_volume_mute,goo plea extra quiet babi sleep
408,mute enabled until i say so,audio_volume_mute,mute enabl say
409,Shut down the sound,audio_volume_mute,hut sound
410,please hold for the next hour,audio_volume_mute,plea hold next hour
411,disable music player,audio_volume_mute,disabl music player
412,mute the sound,audio_volume_mute,mute sound
413,set the settings to mute,audio_volume_mute,set set mute
414,quiet mode on until i am home from work,audio_volume_mute,quiet mode home work
415,turn the vibrate off from speaker,audio_volume_mute,turn vibrat speaker
416,please mute the speakers,audio_volume_mute,plea mute speaker
417,mute sound on speakers please,audio_volume_mute,mute sound speaker plea
418,don't speak for an hour,audio_volume_mute,speak hour
419,set music system to mute,audio_volume_mute,set music system mute
420,stay quiet,audio_volume_mute,stay quiet
421,set volume to zero,audio_volume_mute,set volum zero
422,please mute my speaker,audio_volume_mute,plea mute speaker
423,speakers off,audio_volume_mute,speaker
424,please do not speak,audio_volume_mute,plea speak
425,quiet on,audio_volume_mute,quiet
426,no speaking please,audio_volume_mute,speak plea
427,i would like to mute the speakers please,audio_volume_mute,would like mute speaker plea
428,please mute the sound,audio_volume_mute,plea mute sound
429,please shut off,audio_volume_mute,plea shut
430,from now on mute,audio_volume_mute,mute
431,please unmute yourself,audio_volume_mute,plea unit
432,mute speakers,audio_volume_mute,mute speaker
433,i dont want sound,audio_volume_mute,dont want sound
434,will you please mute my speakers,audio_volume_mute,plea mute speaker
435,mute speakers please,audio_volume_mute,mute speaker plea
436,mute sound,audio_volume_mute,mute sound
437,quiet,audio_volume_mute,quiet
438,sound off,audio_volume_mute,sound
439,silence for certain amount of hours,audio_volume_mute,silenc certain amount hour
440,please you don't speak in eight to ten pm,audio_volume_mute,plea speak eight ten pm
441,mute,audio_volume_mute,mute
442,turn the sound off,audio_volume_mute,turn sound
443,mute immediately,audio_volume_mute,mute immedi
444,mute all responses now,audio_volume_mute,mute respons
445,be mute,audio_volume_mute,mute
446,shut up,audio_volume_mute,shut
447,don't make any sounds,audio_volume_mute,make sound
448,turn sound off,audio_volume_mute,turn sound
449,silent mode on for the next three hours,audio_volume_mute,silent mode next three hour
450,cut off noise,audio_volume_mute,cut nois
451,touch the mute button,audio_volume_mute,touch mute button
452,get yourself muted,audio_volume_mute,get mute
453,set mute until said otherwise,audio_volume_mute,set mute said otherwis
454,be quiet,audio_volume_mute,quiet
455,mute yourself until five pm,audio_volume_mute,mute five pm
456,don't speak for a while,audio_volume_mute,speak
457,i've got a meeting by tonight seven pm please mute the music for an hour,audio_volume_mute,i '' ve got meet tonight seven pm plea mute music hour
458,quiet mode four hours,audio_volume_mute,quiet mode four hour
459,turn down the noise,audio_volume_mute,turn nois
460,please change the volume to mute,audio_volume_mute,plea chang volum mute
461,mute for the next hour please,audio_volume_mute,mute next hour plea
462,please mute yourself,audio_volume_mute,plea mute
463,make the volume to zero,audio_volume_mute,make volum zero
464,hey olly mute the speakers,audio_volume_mute,hey onli mute speaker
465,mute the speakers,audio_volume_mute,mute speaker
466,goodnight,audio_volume_mute,goodnight
467,it's quiet time,audio_volume_mute,quiet time
468,turn off speaker,audio_volume_mute,turn speaker
469,mute yourself until i say otherwise,audio_volume_mute,mute say otherwis
470,mute audio,audio_volume_mute,mute audit
471,don't talk until i ask you to,audio_volume_mute,talk ask
472,please be quiet for the next two hours,audio_volume_mute,plea quiet next two hour
473,mute volume now,audio_volume_mute,mute volum
474,don't respond for fifty seconds,audio_volume_mute,respond fifti second
475,turn off the speakers,audio_volume_mute,turn speaker
476,do not talk,audio_volume_mute,talk
477,quiet time,audio_volume_mute,quiet time
478,mute for one hour,audio_volume_mute,mute one hour
479,please be silent,audio_volume_mute,plea silent
480,please do not respond,audio_volume_mute,plea respond
481,volume control,audio_volume_mute,volum control
482,can you set radio to mute,audio_volume_mute,set radio mute
483,please mute the television for one hour,audio_volume_mute,plea mute televis one hour
484,can you please be muted for a while,audio_volume_mute,plea mute
485,i'm in a meeting please do not speak,audio_volume_mute,i '' m meet plea speak
486,turn the volume off,audio_volume_mute,turn volum
487,sound off please,audio_volume_mute,sound plea
488,i want you to mute,audio_volume_mute,want mute
489,do not make any noise until morning alarm,audio_volume_mute,make nois morn alarm
490,mute for twenty minutes,audio_volume_mute,mute twenti minut
491,stop the audio,audio_volume_mute,stop audit
492,how the list of upcoming events,calendar_query,list come event
493,do i have a dentist appointment on monday morning,calendar_query,dentist appoint monday morn
494,do i have a meeting on saturday march twenty fifth,calendar_query,meet saturday march twenti fifth
495,is my calendar free for Thursday,calendar_query,calendar free thursday
496,what important dates are there in my calendar this month,calendar_query,import date calendar month
497,tell me about the meetings over a period of time,calendar_query,tell meet period time
498,time time is the holiday party at the office,calendar_query,time time holiday parti offic
499,today's schedule,calendar_query,today '' s schedul
500,what have i got going on between three and four pm today,calendar_query,got go three four pm today
501,hows many more reminders are left,calendar_query,how mani remind left
502,is the birthday event on fifteenth of this month true,calendar_query,birthday event fifteenth month true
503,tell me what is on my schedule for today,calendar_query,tell schedul today
504,do i have anything planned for the twenty first,calendar_query,anyth plan twenti first
505,is my schedule full for tomorrow from eight am to two pm,calendar_query,schedul full tomorrow eight two pm
506,what meetings do i have between eight ten today,calendar_query,meet eight ten today
507,need information about events before shift ends,calendar_query,need inform event shift end
